properties_doc_report.gender,properties_doc_report.document_type,properties_doc_report.date_of_expiry,properties_doc_report.issuing_country,properties_doc_report.nationality,properties_doc_report.issuing_date,properties_doc_report.issuing_state,properties_doc_report.document_version,created_at_doc_report,result_doc_report,conclusive_document_quality_result
,driving_licence,2025-11-25,IRL,,2015-11-26,,,2017-07-26 16:46:57,clear,
Male,passport,2020-06-14,IRL,IRL,,,,2017-07-26 17:30:48,clear,
Male,passport,2025-08-19,GBR,GBR,,,,2017-07-26 18:19:07,clear,
Male,passport,2027-07-18,GBR,GBR,,,,2017-07-26 18:24:47,clear,
Male,national_identity_card,2020-05-17,ESP,ESP,,,,2017-07-26 18:33:06,clear,
Male,passport,2019-12-23,FRA,FRA,,,,2017-07-26 19:30:34,clear,
Male,passport,2021-06-21,GBR,GBR,,,,2017-07-26 20:17:17,clear,
,,,,,,,,2017-07-26 20:54:42,consider,
,,,,,,,,2017-07-26 21:05:01,consider,
,,,,,,,,2017-07-26 21:16:33,consider,
,,,,,,,,2017-07-26 21:26:55,consider,
,national_identity_card,2023-02-01,DEU,DEU,,,,2017-07-26 21:29:24,clear,
Male,passport,2023-03-11,IRL,IRL,,,,2017-07-26 21:53:19,clear,
Male,national_identity_card,2019-05-25,PRT,PRT,,,,2017-07-26 21:55:10,clear,
Male,national_identity_card,,FRA,,2017-03,,,2017-07-26 22:10:24,clear,
Male,driving_licence,2021-09-28,GBR,,2012-06-12,,,2017-07-26 22:13:56,clear,
Male,passport,2023-05-18,GBR,GBR,,,,2017-07-26 22:29:36,clear,
,driving_licence,2020-05-14,AUS,,,VIC,,2017-07-26 22:46:21,clear,
Female,driving_licence,2022-03-09,GBR,,2012-08-09,,,2017-07-27 01:34:53,clear,
,national_identity_card,2021-04-19,DEU,DEU,,,,2017-07-27 07:18:31,clear,
,driving_licence,2029-07-27,DEU,,2014-07-28,,,2017-07-27 07:20:51,clear,
Male,driving_licence,2021-09-07,GBR,,,,,2017-07-27 08:22:11,clear,
,,,,,,,,2017-07-27 08:56:38,consider,
,driving_licence,2030-10-15,POL,,2015-10-15,,,2017-07-27 09:43:22,clear,
,driving_licence,,PRT,,2002-11-11,,,2017-07-27 10:40:46,clear,
,,,,,,,,2017-07-27 10:43:42,consider,
Male,passport,2021-03-02,IRL,IRL,,,,2017-07-27 10:46:50,clear,
Male,national_identity_card,2021-03-02,CHE,CHE,,,,2017-07-27 10:52:46,clear,
Female,national_identity_card,2021-12-06,PRT,PRT,,,,2017-07-27 11:51:57,clear,
Female,national_identity_card,2026-01-20,CHE,CHE,,,,2017-07-27 12:15:22,clear,
,,,,,,,,2017-07-27 12:22:29,consider,
Male,national_identity_card,2020-12-17,GIB,GBR,,,,2017-07-27 12:54:08,clear,
Male,passport,2025-11-29,COL,COL,,,,2017-07-27 12:58:14,clear,
Female,passport,2018-06-12,FRA,FRA,,,,2017-07-27 13:27:06,clear,
Male,passport,2018-07-21,FRA,FRA,,,,2017-07-27 13:50:16,clear,
Male,national_identity_card,2025-03-25,CHE,CHE,,,,2017-07-27 13:58:10,clear,
Female,driving_licence,2023-10-20,CHE,CHE,,,,2017-07-27 14:53:03,clear,
,driving_licence,2025-10-15,LTU,,2015-10-15,,,2017-07-27 15:13:49,clear,
Male,passport,2025-07-22,GBR,GBR,,,,2017-07-27 15:18:33,clear,
Male,national_identity_card,,FRA,,2008-01,,,2017-07-27 15:18:35,clear,
Male,driving_licence,2022-11-19,GBR,,2016-08-12,,,2017-07-27 15:52:29,clear,
,driving_licence,2019-04-03,ITA,,2009-04-03,,,2017-07-27 16:17:00,clear,
Male,passport,2019-12-10,ESP,ESP,,,,2017-07-27 17:22:30,clear,
Female,national_identity_card,2018-02-27,PRT,PRT,,,,2017-07-27 17:41:17,clear,
Female,driving_licence,2024-08-27,GBR,,2014-08-28,,,2017-07-27 17:41:24,clear,
Male,passport,2025-10-08,FRA,FRA,,,,2017-07-27 17:45:31,clear,
Female,driving_licence,2024-10-15,GBR,,2014-10-16,,,2017-07-27 18:11:55,clear,
,,,,,,,,2017-07-27 18:24:01,consider,
Female,national_identity_card,2020-07-26,PRT,PRT,,,,2017-07-27 18:24:55,clear,
Female,driving_licence,2025-01-04,GBR,,2015-01-05,,,2017-07-27 18:31:02,clear,
,national_identity_card,2026-02-25,DEU,,,,,2017-07-27 18:37:41,clear,
,,,,,,,,2017-07-27 18:56:02,consider,
Male,national_identity_card,2026-11-15,LTU,LTU,,,,2017-07-27 19:11:39,clear,
Male,residence_permit,2020-01-15,POL,CUB,,,,2017-07-27 19:21:10,clear,
,driving_licence,,CHE,,2016-01-15,,,2017-07-27 19:57:15,clear,
Female,national_identity_card,2019-07-08,ESP,ESP,,,,2017-07-27 20:34:43,clear,
,driving_licence,,POL,,2007-10-25,,,2017-07-27 20:45:36,clear,
Male,driving_licence,2024-07-09,GBR,,2014-11-05,,,2017-07-27 21:09:13,clear,
Male,passport,2018-10-29,BEL,BEL,,,,2017-07-27 21:55:51,clear,
Male,driving_licence,2024-04-16,GBR,,2014-04-17,,,2017-07-28 02:05:23,clear,
Male,national_identity_card,2021-03-14,PRT,PRT,,,,2017-07-28 02:29:25,clear,
Female,passport,2024-07-29,GBR,GBR,,,,2017-07-28 02:58:21,clear,
Male,driving_licence,2023-02-20,GBR,,2013-02-21,,,2017-07-28 04:57:39,clear,
Female,national_identity_card,2017-08-07,ESP,ESP,,,,2017-07-28 06:39:12,clear,
Male,passport,2018-06-19,IRL,IRL,,,,2017-07-28 06:50:36,clear,
Male,driving_licence,2026-10-07,GBR,,2016-10-08,,,2017-07-28 07:36:14,clear,
,national_identity_card,2023-02-27,DEU,DEU,,,,2017-07-28 08:36:32,clear,
Male,national_identity_card,2024-09-08,HUN,HUN,,,,2017-07-28 08:40:01,clear,
,driving_licence,2026-12-20,SVN,,2016-12-20,,,2017-07-28 08:57:17,clear,
Male,national_identity_card,2021-07-06,HUN,HUN,,,,2017-07-28 09:31:42,clear,
,,,,,,,,2017-07-28 09:39:18,consider,
Male,passport,2027-12-17,GBR,GBR,,,,2017-07-28 10:07:26,clear,
Female,passport,2025-12-16,CZE,CZE,,,,2017-07-28 10:10:52,clear,
,driving_licence,,SVK,,2011-10-24,,,2017-07-28 10:37:29,clear,
Female,driving_licence,2026-05-03,GBR,,2016-05-04,,,2017-07-28 10:41:03,clear,
Male,national_identity_card,2022-02-03,HRV,HRV,,,,2017-07-28 10:48:56,clear,
Male,passport,2025-01-12,FRA,FRA,,,,2017-07-28 11:02:06,consider,
Female,driving_licence,2021-06-24,GBR,,2011-06-25,,,2017-07-28 11:04:47,clear,
,,,,,,,,2017-07-28 11:11:10,consider,
Female,driving_licence,2027-04-20,GBR,,2017-04-21,,,2017-07-28 11:22:21,clear,
Female,passport,2027-05-16,GBR,GBR,,,,2017-07-28 11:38:29,clear,
Female,passport,2019-11-13,GBR,GBR,,,,2017-07-28 11:51:48,clear,
Female,national_identity_card,2026-12-22,CZE,,,,,2017-07-28 12:07:23,clear,
Male,national_identity_card,2024-03-17,BEL,BEL,,,,2017-07-28 12:09:58,clear,
,,,,,,,,2017-07-28 12:36:06,consider,
,,,,,,,,2017-07-28 12:49:48,consider,
Male,passport,2024-02-01,GBR,GBR,,,,2017-07-28 13:07:43,clear,
Female,national_identity_card,2019-04-08,ESP,ESP,,,,2017-07-28 13:44:48,clear,
Female,national_identity_card,,FRA,,2016-12,,,2017-07-28 14:04:56,clear,
Female,driving_licence,2025-04-06,GBR,,2015-04-07,,,2017-07-28 14:06:36,clear,
Male,national_identity_card,,FRA,,2007-06,,,2017-07-28 14:25:50,clear,
Male,residence_permit,2020-01-04,ESP,RUS,,,,2017-07-28 14:27:36,clear,
Male,driving_licence,2020-07-05,GBR,,2012-12-22,,,2017-07-28 14:44:26,clear,
Female,passport,2020-09-02,GBR,GBR,,,,2017-07-28 15:12:52,clear,
Male,passport,2019-10-13,IRL,IRL,,,,2017-07-28 15:59:00,clear,
,,,,,,,,2017-07-28 16:00:44,consider,
Male,passport,2023-06-06,GBR,GBR,,,,2017-07-28 16:24:01,clear,
Male,passport,2025-06-14,FRA,FRA,,,,2017-07-28 17:00:38,clear,
Male,national_identity_card,,POL,,,,,2017-07-28 17:06:05,clear,
Male,driving_licence,2025-02-10,GBR,,2015-02-11,,,2017-07-28 17:07:23,clear,
Male,national_identity_card,,FRA,,2017-07,,,2017-07-28 17:29:26,clear,
,,,,,,,,2017-07-28 17:55:18,consider,
Female,passport,2022-06-12,ITA,ITA,,,,2017-07-28 19:44:10,clear,
Male,passport,2026-04-12,HUN,HUN,,,,2017-07-28 19:49:45,clear,
,,,,,,,,2017-07-28 20:20:52,consider,
Female,driving_licence,2023-09-26,GBR,,2013-09-27,,,2017-07-28 20:27:13,clear,
Male,driving_licence,2022-11-13,GBR,,2015-05-07,,,2017-07-28 20:35:37,clear,
Female,passport,2022-10-02,RUS,RUS,,,,2017-07-28 21:37:04,clear,
Male,passport,2021-02-05,GRC,GRC,,,,2017-07-28 23:27:33,clear,
,,,,,,,,2017-07-29 03:38:16,consider,
Male,national_identity_card,2021-09-20,ROU,ROU,,,,2017-07-29 06:15:50,clear,
Male,driving_licence,2027-06-09,GBR,,2017-06-10,,,2017-07-29 06:36:50,clear,
Male,passport,2023-06-07,GBR,GBR,,,,2017-07-29 06:39:24,clear,
Male,national_identity_card,2027-05-23,POL,POL,,,,2017-07-29 07:15:35,clear,
Male,passport,2024-08-25,GBR,GBR,,,,2017-07-29 07:16:08,clear,
Male,passport,2027-05-14,ITA,ITA,,,,2017-07-29 07:21:33,clear,
Male,passport,2018-11-21,HUN,HUN,,,,2017-07-29 08:41:35,clear,
Male,passport,2020-03-11,GBR,GBR,,,,2017-07-29 09:05:13,clear,
Male,passport,2020-12-22,IRL,IRL,,,,2017-07-29 11:07:03,clear,
,,,,,,,,2017-07-29 11:19:17,consider,
Male,national_identity_card,2022-10-08,LTU,,,,,2017-07-29 11:25:44,clear,
Male,national_identity_card,2021-09-06,ESP,ESP,,,,2017-07-29 11:38:48,clear,
Male,national_identity_card,,FRA,,2017-02,,,2017-07-29 12:00:51,clear,
Female,national_identity_card,2026-12-14,NLD,NLD,,,,2017-07-29 12:06:43,clear,
Female,national_identity_card,2018-04-19,HUN,HUN,,,,2017-07-29 12:10:41,clear,
Female,driving_licence,2018-09-15,GBR,,2015-10-27,,,2017-07-29 13:09:18,clear,
,,,,,,,,2017-07-29 13:32:24,consider,
Female,passport,2022-03-21,GRC,GRC,,,,2017-07-29 13:45:55,clear,
Female,national_identity_card,,FRA,,2016-10,,,2017-07-29 15:24:24,clear,
Male,national_identity_card,,FRA,,2013-01,,,2017-07-29 15:37:47,clear,
,driving_licence,2056-10-29,GRC,,2009-12-01,,,2017-07-29 15:52:54,clear,
Male,national_identity_card,2019-06-03,LTU,LTU,,,,2017-07-29 15:54:07,clear,
Male,passport,2018-04-13,ITA,ITA,,,,2017-07-29 16:23:24,clear,
Female,passport,2025-03-29,FRA,FRA,,,,2017-07-29 16:36:42,clear,
Male,driving_licence,2023-02-05,GBR,,2016-10-01,,,2017-07-29 17:46:32,clear,
,,,,,,,,2017-07-29 18:49:20,consider,
Male,national_identity_card,2025-08-25,CZE,CZE,,,,2017-07-29 19:20:19,clear,
,,,,,,,,2017-07-29 20:04:01,consider,
Male,national_identity_card,,FRA,,2006-05,,,2017-07-29 20:04:48,clear,
Male,driving_licence,2019-12-29,GBR,,2014-12-30,,,2017-07-29 20:39:11,clear,
,national_identity_card,,GRC,,,,,2017-07-29 20:56:54,clear,
Female,passport,2021-06-05,GRC,GRC,,,,2017-07-29 21:02:44,clear,
Male,driving_licence,2027-03-16,GBR,,2017-06-10,,,2017-07-30 07:44:18,clear,
Male,passport,2020-09-02,GBR,GBR,,,,2017-07-30 07:53:13,clear,
Male,passport,2024-10-15,FRA,FRA,,,,2017-07-30 08:11:55,clear,
Female,passport,2023-01-16,ITA,ITA,,,,2017-07-30 08:29:21,clear,
,national_identity_card,2018-06-13,DEU,,,,,2017-07-30 10:48:13,clear,
Male,passport,2025-08-17,IRL,IRL,,,,2017-07-30 11:05:43,clear,
,,,,,,,,2017-07-30 11:06:57,consider,
Female,passport,2022-01-04,GRC,GRC,,,,2017-07-30 11:31:31,clear,
,driving_licence,2024-07-16,CZE,,2014-07-16,,,2017-07-30 11:34:59,clear,
Male,passport,2027-05-23,FRA,FRA,,,,2017-07-30 11:49:36,clear,
,,,,,,,,2017-07-30 12:08:40,consider,
Male,national_identity_card,,FRA,,2014-08,,,2017-07-30 12:12:24,clear,
Male,national_identity_card,2022-10-11,POL,POL,,,,2017-07-30 14:04:04,clear,
Male,national_identity_card,,FRA,,2015-02,,,2017-07-30 14:12:58,clear,
Male,driving_licence,2021-04-09,USA,,,DC,,2017-07-30 14:39:53,clear,
Male,driving_licence,2025-04-28,GBR,,2016-05-16,,,2017-07-30 14:39:56,clear,
,,,,,,,,2017-07-30 14:42:11,consider,
Male,driving_licence,2024-08-15,GBR,,2015-07-16,,,2017-07-30 14:59:00,clear,
Male,passport,2023-06-11,IND,IND,,,,2017-07-30 16:16:25,clear,
,,,,,,,,2017-07-30 16:36:22,consider,
Male,passport,2019-10-16,IRL,IRL,,,,2017-07-30 16:40:52,clear,
Female,national_identity_card,,FRA,,2014-10,,,2017-07-30 16:41:56,clear,
Male,national_identity_card,2026-08-19,LTU,LTU,,,,2017-07-30 17:37:55,clear,
Male,national_identity_card,2019-08-06,ESP,ESP,,,,2017-07-30 19:06:10,clear,
Male,driving_licence,2025-10-13,GBR,,2015-10-14,,,2017-07-31 05:13:31,clear,
Female,passport,2017-12-03,GBR,GBR,,,,2017-07-31 10:01:00,clear,
Male,national_identity_card,2022-06-04,POL,POL,,,,2017-07-31 10:13:25,clear,
Male,national_identity_card,,FRA,,2010-05,,,2017-07-31 10:19:38,clear,
,driving_licence,2031-09-05,FRA,,2016-09-05,,,2017-07-31 10:35:07,clear,
Male,passport,2023-06-25,FRA,FRA,,,,2017-07-31 10:58:46,clear,
,driving_licence,2025-02-24,DNK,,2008-06-25,,,2017-07-31 11:55:35,clear,
,,,,,,,,2017-07-31 13:23:10,consider,
Male,driving_licence,2020-04-29,GBR,,2017-06-03,,,2017-07-31 15:00:31,clear,
Male,driving_licence,2021-09-19,GBR,,2012-03-28,,,2017-07-31 16:15:22,clear,
Male,passport,2026-02-23,FRA,FRA,,,,2017-07-31 16:22:01,clear,
Male,driving_licence,2018-09-17,GBR,,2008-09-18,,,2017-07-31 16:33:28,clear,
Female,passport,2022-04-15,IRL,IRL,,,,2017-07-31 18:19:32,clear,
,driving_licence,2026-10-30,GBR,,2016-11-04,,,2017-07-31 18:23:23,clear,
Female,driving_licence,2018-03-05,GBR,,2015-09-25,,,2017-07-31 18:25:18,clear,
Female,national_identity_card,2020-12-07,ESP,ESP,,,,2017-07-31 18:58:53,clear,
Male,national_identity_card,2022-07-21,ESP,ESP,,,,2017-07-31 19:11:53,clear,
Female,driving_licence,2020-09-22,GBR,,2016-08-14,,,2017-07-31 19:36:12,clear,
,national_identity_card,2024-08-26,POL,,,,,2017-07-31 19:39:59,clear,
Female,passport,2023-03-26,GBR,GBR,,,,2017-07-31 19:56:59,clear,
Female,national_identity_card,,FRA,,2008-07,,,2017-07-31 20:35:16,clear,
Female,passport,2018-08-02,GBR,GBR,,,,2017-07-31 20:50:29,clear,
Male,passport,2021-03-17,GBR,GBR,,,,2017-07-31 20:53:02,clear,
,,,,,,,,2017-07-31 21:50:11,consider,
,driving_licence,2022-08-14,ESP,,2012-08-14,,,2017-07-31 22:58:07,clear,
Male,national_identity_card,2024-03-07,SVK,,,,,2017-08-01 04:23:09,clear,
Male,national_identity_card,2024-01-27,HUN,HUN,,,,2017-08-01 05:39:15,clear,
Female,national_identity_card,2026-10-17,LTU,LTU,,,,2017-08-01 05:43:43,clear,
,driving_licence,,POL,,2006-12-12,,,2017-08-01 05:54:16,clear,
Female,national_identity_card,2026-08-31,LTU,LTU,,,,2017-08-01 06:22:49,clear,
,driving_licence,2038-07-25,FIN,,2010-11-01,,,2017-08-01 07:39:42,clear,
Female,national_identity_card,2022-07-04,ESP,ESP,,,,2017-08-01 07:42:14,clear,
,national_identity_card,,ITA,,,,,2017-08-01 07:42:25,clear,
,national_identity_card,,GRC,,,,,2017-08-01 08:02:05,clear,
Male,passport,2027-03-30,GBR,GBR,,,,2017-08-01 09:03:55,clear,
,driving_licence,,FRA,,2006-08-08,,,2017-08-01 09:04:21,clear,
Female,national_identity_card,,CHE,CHE,,,,2017-08-01 10:27:04,clear,
Female,passport,2020-02-18,BRA,BRA,,,,2017-08-01 10:36:49,clear,
Male,passport,2027-07-09,GBR,GBR,,,,2017-08-01 10:44:46,clear,
,,,,,,,,2017-08-01 11:14:42,consider,
Female,passport,2021-08-16,GBR,GBR,,,,2017-08-01 11:16:23,clear,
Male,passport,2023-07-01,IRL,IRL,,,,2017-08-01 11:16:37,clear,
Male,passport,2027-04-27,GBR,GBR,,,,2017-08-01 11:34:44,clear,
Male,driving_licence,2027-04-05,GBR,,2017-04-06,,,2017-08-01 12:00:15,clear,
Female,passport,2027-05-17,GBR,GBR,,,,2017-08-01 12:03:39,clear,
Female,driving_licence,2023-11-14,GBR,,2016-12-07,,,2017-08-01 12:15:46,clear,
Male,national_identity_card,2025-11-12,BEL,BEL,,,,2017-08-01 13:03:30,clear,
Female,national_identity_card,,FRA,,2005-11,,,2017-08-01 13:09:10,clear,
,,,,,,,,2017-08-01 13:28:28,consider,
Male,passport,2025-09-29,FRA,FRA,,,,2017-08-01 13:39:46,clear,
Male,national_identity_card,,FRA,,2012-07,,,2017-08-01 14:01:46,clear,
Female,passport,2022-07-18,ESP,ESP,,,,2017-08-01 14:17:43,clear,
Female,driving_licence,2025-05-19,GBR,,,,,2017-08-01 14:23:36,clear,
Male,passport,2019-09-30,FRA,FRA,,,,2017-08-01 15:08:37,clear,
Male,national_identity_card,2024-09-18,LTU,LTU,,,,2017-08-01 15:11:41,clear,
Male,national_identity_card,2025-08-06,LTU,LTU,,,,2017-08-01 15:11:45,clear,
Male,driving_licence,2025-09-19,GBR,,2017-04-10,,,2017-08-01 15:14:27,clear,
Male,national_identity_card,2022-03-06,HUN,HUN,,,,2017-08-01 15:36:08,clear,
Male,national_identity_card,2021-09-20,CHE,CHE,,,,2017-08-01 16:03:25,clear,
Male,passport,2026-08-03,NLD,NLD,,,,2017-08-01 16:16:07,clear,
,driving_licence,2023-11-19,IRL,,2013-12-12,,,2017-08-01 16:43:40,clear,
Female,passport,2019-07-14,AUS,AUS,,,,2017-08-01 17:01:02,clear,
Female,driving_licence,2025-09-11,GBR,,2015-09-12,,,2017-08-01 17:06:08,clear,
Male,passport,2022-02-08,IRL,IRL,,,,2017-08-01 17:12:02,clear,
Male,national_identity_card,2027-07-07,ESP,ESP,,,,2017-08-01 17:32:31,clear,
Female,passport,2023-02-28,DNK,DNK,,,,2017-08-01 17:39:12,clear,
Male,passport,2018-07-25,POL,POL,,,,2017-08-01 17:43:49,clear,
Male,driving_licence,2019-03-31,GBR,,2013-05-31,,,2017-08-01 17:45:21,clear,
,national_identity_card,2026-07-28,DEU,DEU,,,,2017-08-01 18:58:05,clear,
,driving_licence,,DEU,,2005-05-10,,,2017-08-01 19:00:15,clear,
Male,national_identity_card,2025-12-07,BEL,BEL,,,,2017-08-01 19:31:31,clear,
,driving_licence,2029-05-12,FRA,,,,,2017-08-01 20:01:50,clear,
Female,passport,2027-05-26,IRL,IRL,,,,2017-08-01 20:03:09,clear,
Male,national_identity_card,2019-12-09,PRT,PRT,,,,2017-08-01 20:43:57,clear,
Male,residence_permit,2020-03-08,GBR,BLR,,,,2017-08-01 20:57:40,clear,
Male,passport,2022-03-08,SVK,SVK,,,,2017-08-01 23:20:07,clear,
,,,,,,,,2017-08-01 23:30:52,consider,
Male,national_identity_card,,FRA,,2015-11,,,2017-08-02 02:48:32,clear,
Male,driving_licence,2019-08-12,USA,,,CA,,2017-08-02 03:34:37,clear,
Female,passport,2021-07-21,RUS,RUS,,,,2017-08-02 04:48:03,clear,
Male,national_identity_card,,POL,,,,,2017-08-02 05:45:25,clear,
Female,national_identity_card,2026-08-05,POL,POL,,,,2017-08-02 06:50:32,clear,
,,,,,,,,2017-08-02 06:54:35,consider,
Female,passport,2020-04-21,ITA,ITA,,,,2017-08-02 07:11:42,clear,
Female,national_identity_card,2026-08-17,SVN,SVN,,,,2017-08-02 07:51:52,clear,
Male,passport,2003-01-14,GRC,GRC,,,,2017-08-02 08:16:35,consider,clear
,national_identity_card,2019-05-15,DEU,DEU,,,,2017-08-02 08:28:03,clear,clear
Male,national_identity_card,2022-08-28,POL,POL,,,,2017-08-02 08:42:26,clear,clear
,,,,,,,,2017-08-02 08:56:08,consider,
Female,national_identity_card,,FRA,,2013-09,,,2017-08-02 09:03:23,clear,
Female,passport,2024-04-07,FRA,FRA,,,,2017-08-02 09:05:14,clear,
,driving_licence,2030-02-09,FRA,,2015-02-09,,,2017-08-02 09:28:29,clear,
,,,,,,,,2017-08-02 09:36:30,consider,
,driving_licence,,CHE,,2017-02-24,,,2017-08-02 09:46:08,clear,
Male,driving_licence,2022-11-07,GBR,,2016-07-20,,,2017-08-02 10:42:04,clear,
Male,passport,2028-01-03,GBR,GBR,,,,2017-08-02 11:01:16,clear,
Female,driving_licence,2025-02-16,GBR,,2015-02-17,,,2017-08-02 11:03:32,clear,
Male,national_identity_card,2020-04-01,SWE,SWE,,,,2017-08-02 11:23:54,clear,
Male,national_identity_card,2017-08-28,NLD,NLD,,,,2017-08-02 11:31:37,clear,
,,,,,,,,2017-08-02 12:06:10,consider,
,driving_licence,2022-04-02,ROU,,2012-04-02,,,2017-08-02 12:22:43,clear,
,driving_licence,2023-08-05,LTU,,2013-08-05,,,2017-08-02 13:40:25,clear,
Male,national_identity_card,2020-07-14,CHE,CHE,,,,2017-08-02 13:46:57,clear,
,,,,,,,,2017-08-02 13:49:49,consider,
Female,passport,2024-06-27,GBR,GBR,,,,2017-08-02 14:02:39,clear,
,,,,,,,,2017-08-02 14:40:53,consider,
Male,national_identity_card,2026-10-11,LTU,LTU,,,,2017-08-02 14:46:42,clear,
Male,passport,2020-12-05,FRA,FRA,,,,2017-08-02 15:04:27,clear,
Male,national_identity_card,,FRA,,2015-02,,,2017-08-02 15:06:57,clear,
,driving_licence,2019-07-02,AUS,,,WA,,2017-08-02 15:25:03,clear,
Female,national_identity_card,2018-08-08,LTU,LTU,,,,2017-08-02 15:43:38,clear,
Male,national_identity_card,2026-03-31,ESP,ESP,,,,2017-08-02 16:18:26,clear,
,driving_licence,2019-10-07,IRL,,2016-10-08,,,2017-08-02 17:17:50,clear,
Male,national_identity_card,2018-09-24,PRT,PRT,,,,2017-08-02 17:29:02,clear,
Male,national_identity_card,2022-04-30,CYP,,,,,2017-08-02 17:39:31,clear,
Male,national_identity_card,2019-07-18,PRT,PRT,,,,2017-08-02 18:35:49,clear,
Male,passport,2021-11-15,GBR,GBR,,,,2017-08-02 19:12:28,clear,
Male,national_identity_card,2024-07-24,MLT,MLT,,,,2017-08-02 19:15:52,clear,
,driving_licence,2026-04-28,LVA,,2016-04-28,,,2017-08-02 19:22:54,clear,
Male,passport,2017-09-13,FRA,FRA,,,,2017-08-02 19:29:35,clear,
Male,passport,2027-07-07,GBR,GBR,,,,2017-08-02 20:07:29,clear,
,,,,,,,,2017-08-02 20:11:26,consider,
Male,driving_licence,2023-12-20,GBR,,2017-03-24,,,2017-08-02 20:13:46,clear,
,driving_licence,2056-09-17,GRC,,2009-10-29,,,2017-08-02 20:30:02,clear,
,,,,,,,,2017-08-02 20:41:48,consider,
,,,,,,,,2017-08-02 20:54:54,consider,
Female,national_identity_card,2020-04-06,POL,POL,,,,2017-08-02 21:11:27,clear,
Male,residence_permit,2021-06-06,FRA,MAR,,,,2017-08-02 21:23:15,clear,
Male,national_identity_card,2024-12-18,SVN,SVN,,,,2017-08-02 21:31:38,clear,
Male,driving_licence,2025-05-07,GBR,,2016-04-23,,,2017-08-02 21:34:42,clear,
,,,,,,,,2017-08-02 22:13:19,consider,
,driving_licence,2025-04-22,IRL,,,,,2017-08-02 22:49:09,clear,
Male,passport,2021-05-04,FRA,FRA,,,,2017-08-02 23:57:40,clear,
Male,national_identity_card,2018-11-17,PRT,PRT,,,,2017-08-03 00:29:18,clear,
Male,passport,2022-10-20,GBR,GBR,,,,2017-08-03 00:33:08,consider,
Female,driving_licence,2023-11-07,GBR,,2013-11-08,,,2017-08-03 07:21:47,clear,
Female,national_identity_card,2018-04-07,CHE,CHE,,,,2017-08-03 07:39:08,clear,
,,,,,,,,2017-08-03 07:39:15,consider,
Female,passport,2024-08-21,BLR,BLR,,,,2017-08-03 07:40:17,clear,
,national_identity_card,,ITA,,,,,2017-08-03 08:02:41,clear,
Male,national_identity_card,2025-07-20,ESP,ESP,,,,2017-08-03 08:12:02,clear,
,driving_licence,2024-12-10,LTU,,2014-12-10,,,2017-08-03 08:44:47,clear,
Female,national_identity_card,,FRA,,2016-04,,,2017-08-03 09:08:15,clear,
Male,national_identity_card,2018-01-03,LVA,LVA,,,,2017-08-03 09:14:19,clear,
Male,driving_licence,2026-07-09,GBR,,2016-07-10,,,2017-08-03 09:26:11,clear,
Female,passport,2022-12-18,IND,IND,,,,2017-08-03 09:31:43,clear,
Female,national_identity_card,2021-04-27,HUN,HUN,,,,2017-08-03 09:35:31,clear,
Male,national_identity_card,2024-07-22,POL,POL,,,,2017-08-03 09:42:40,clear,
,driving_licence,,PRT,,2015-12-11,,,2017-08-03 10:02:24,clear,
Male,residence_permit,2018-08-30,GBR,CHN,,,,2017-08-03 10:06:11,clear,
Male,national_identity_card,2025-08-12,LTU,LTU,,,,2017-08-03 10:20:06,clear,
,driving_licence,2024-11-19,IRL,,2014-11-20,,,2017-08-03 10:22:36,clear,
Male,passport,2023-06-24,GBR,GBR,,,,2017-08-03 10:45:49,clear,
Male,passport,2021-11-25,ITA,ITA,,,,2017-08-03 11:18:17,clear,
Female,passport,2018-10-20,FRA,FRA,,,,2017-08-03 11:51:26,clear,
Male,driving_licence,2027-07-25,GBR,,2017-07-26,,,2017-08-03 11:52:36,clear,
Male,national_identity_card,,FRA,,2013-11,,,2017-08-03 12:03:17,clear,
,,,,,,,,2017-08-03 12:20:14,consider,
,driving_licence,2022-04-23,ESP,,2012-04-17,,,2017-08-03 12:22:58,clear,
Male,national_identity_card,,FRA,,2015-03,,,2017-08-03 12:44:19,clear,
Male,national_identity_card,2021-06-02,ESP,ESP,,,,2017-08-03 13:34:08,clear,
Male,driving_licence,2024-03-03,GBR,,2014-03-04,,,2017-08-03 13:45:54,clear,
Male,national_identity_card,2021-11-02,POL,POL,,,,2017-08-03 14:12:08,clear,
Male,passport,2023-06-12,GBR,GBR,,,,2017-08-03 14:39:47,clear,
,driving_licence,2014-02-13,ITA,,2004-02-13,,,2017-08-03 14:58:12,consider,
,driving_licence,2027-06-01,LTU,,2017-06-01,,,2017-08-03 14:58:59,clear,
Female,residence_permit,2019-08-24,GBR,USA,,,,2017-08-03 15:01:47,clear,
Female,national_identity_card,,FRA,,2005-09,,,2017-08-03 15:29:57,clear,
Male,passport,2023-06-19,POL,POL,,,,2017-08-03 16:14:49,clear,
Male,passport,2019-06-23,GBR,GBR,,,,2017-08-03 16:41:16,clear,
Male,residence_permit,2021-05-09,GBR,MYS,,,,2017-08-03 16:54:53,clear,
,,,,,,,,2017-08-03 17:03:18,consider,
,,,,,,,,2017-08-03 17:07:37,consider,
Male,passport,2027-06-15,IRL,IRL,,,,2017-08-03 17:31:14,clear,
Male,national_identity_card,,CYP,,,,,2017-08-03 17:31:35,consider,
Male,passport,2024-07-06,IRL,IRL,,,,2017-08-03 18:04:37,clear,
